iteration,reward_mean,length_mean,games,loss
134000,-1.0,2.0,9,0.052963227
134500,-1.0,2.0,8,0.042866692
135000,-0.89,2.11,9,0.048054304
135500,-1.0,2.0,8,0.05035428
136000,-1.0,2.0,8,0.04120814
136500,-0.9,2.1,10,0.037213948
137000,-0.88,2.12,8,0.060582407
137500,-1.0,2.0,9,0.038658954
138000,-1.0,2.0,8,0.052608516
138500,-1.0,2.0,8,0.049588885
139000,-1.0,2.0,9,0.045949098
139500,-1.0,2.0,8,0.034452017
140000,-1.0,2.0,8,0.040068887
140500,-1.0,2.0,8,0.054815736
141000,-0.93,2.07,15,0.056881823
141500,-1.0,2.0,9,0.058238503
142000,-1.0,2.0,9,0.045024432
142500,-1.0,2.0,8,0.030069085
143000,-1.0,2.0,9,0.048559327
143500,-1.0,2.0,9,0.049865842
144000,-1.0,2.0,9,0.03723974
144500,-1.0,2.0,10,0.046862975
145000,-1.0,2.0,10,0.06538928
145500,-1.0,2.0,8,0.05928038
146000,-1.0,2.0,9,0.03598001
146500,-1.0,2.0,9,0.04510788
147000,-1.0,2.0,9,0.06127958
147500,-1.0,2.0,11,0.054649763
148000,-1.0,2.0,8,0.049703445
148500,-1.0,2.0,8,0.03853086
149000,-1.0,2.0,8,0.038706664
149500,-1.0,2.0,9,0.055272583
150000,-1.0,2.0,9,0.041010085
150500,-1.0,2.0,8,0.048348304
151000,-1.0,2.0,9,0.047618344
151500,-0.83,2.17,12,0.03591828
152000,-1.0,2.0,8,0.037311863
152500,-1.0,2.0,9,0.045824
153000,-1.0,2.0,8,0.053187624
153500,-1.0,2.0,8,0.047701523
154000,-1.0,2.0,10,0.047404826
154500,-1.0,2.0,9,0.04792452
155000,-0.89,2.11,9,0.03739339
155500,-1.0,2.0,10,0.050576214
156000,-1.0,2.0,8,0.045872778
156500,-1.0,2.0,10,0.045652766
157000,-1.0,2.0,8,0.04762672
157500,-1.0,2.0,9,0.04905735
158000,-1.0,2.0,9,0.047902696
158500,-1.0,2.0,11,0.05730983
159000,-1.0,2.0,10,0.038832307
159500,-1.0,2.0,8,0.05198047
160000,-0.78,2.22,9,0.04140468
160500,-1.0,2.0,8,0.030288646
161000,-1.0,2.0,9,0.03455697
161500,-1.0,2.0,10,0.041569058
162000,-1.0,2.0,11,0.03064367
162500,-0.88,2.12,8,0.037931845
163000,-1.0,2.0,8,0.047178213
163500,-1.0,2.0,8,0.045280937
164000,-0.88,2.12,8,0.039405838
164500,-1.0,2.0,8,0.046303876
165000,-1.0,2.0,8,0.042706065
165500,-1.0,2.0,10,0.047052674
166000,-0.9,2.1,10,0.054115638
166500,-1.0,2.0,10,0.03416401
167000,-1.0,2.0,8,0.044256825
167500,-0.9,2.1,10,0.051146097
168000,-1.0,2.0,11,0.03738231
168500,-1.0,2.0,9,0.037293818
169000,-1.0,2.0,9,0.05384628
169500,-1.0,2.0,9,0.05601002
170000,-0.89,2.11,9,0.045388166
170500,-1.0,2.0,9,0.043889802
171000,-1.0,2.0,10,0.0428055
171500,-1.0,2.0,8,0.04112305
172000,-1.0,2.0,11,0.04634713
172500,-1.0,2.0,8,0.03429286
173000,-1.0,2.0,9,0.03843714
173500,-0.89,2.11,9,0.047031768
174000,-1.0,2.0,8,0.04788884
174500,-1.0,2.0,10,0.049819402
175000,-1.0,2.0,8,0.039712142
175500,-1.0,2.0,9,0.0371301
176000,-1.0,2.0,9,0.039376594
176500,-1.0,2.0,8,0.043430924
177000,-1.0,2.0,8,0.043969125
177500,-1.0,2.0,8,0.05054848
178000,-1.0,2.0,8,0.033869237
178500,-1.0,2.0,10,0.032086477
179000,-1.0,2.0,8,0.05188897
179500,-1.0,2.0,9,0.047725923
180000,-0.88,2.12,8,0.04124476
180500,-1.0,2.0,10,0.039519876
181000,-1.0,2.0,9,0.04292871
181500,-1.0,2.0,10,0.05648231
182000,-1.0,2.0,11,0.047706563
182500,-0.89,2.11,9,0.029105008
183000,-1.0,2.0,9,0.057672027
183500,-1.0,2.0,9,0.04515972
184000,-1.0,2.0,8,0.05513442
184500,-1.0,2.0,9,0.047975853
185000,-1.0,2.0,10,0.04413638
185500,-1.0,2.0,8,0.043182448
186000,-1.0,2.0,8,0.030319063
186500,-1.0,2.0,9,0.051567666
187000,-1.0,2.0,13,0.0350449
187500,-1.0,2.0,12,0.043895997
188000,-1.0,2.0,11,0.040602766
188500,-1.0,2.0,8,0.042379275
189000,-1.0,2.0,9,0.045474492
189500,-0.89,2.11,9,0.049654648
190000,-1.0,2.0,10,0.051771846
190500,-1.0,2.0,12,0.05193546
191000,-1.0,2.0,9,0.04778596
191500,-1.0,2.0,8,0.050449096
192000,-1.0,2.0,9,0.0433535
192500,-1.0,2.0,10,0.03366391
193000,-1.0,2.0,8,0.060871545
193500,-1.0,2.0,8,0.05263517
194000,-0.88,2.12,8,0.043966062
194500,-1.0,2.0,8,0.041774936
195000,-1.0,2.0,10,0.04317287
195500,-0.8,2.2,10,0.039517894
196000,-1.0,2.0,11,0.04134805
196500,-1.0,2.0,8,0.046141576
197000,-1.0,2.0,8,0.0412168
197500,-0.89,2.11,9,0.05318423
198000,-0.88,2.12,8,0.04337819
198500,-1.0,2.0,11,0.048088722
199000,-1.0,2.0,9,0.04184654
199500,-1.0,2.0,9,0.04315029
200000,-1.0,2.0,8,0.043960433
